"","week","(H=5,V=0)","(H=5,V=1)","(H=5,V=2)","(H=5,V=3)","(H=5,V=4)","(H=5,V=5)"
"1",2020-04-26,5594,0,0,0,0,0
"2",2020-05-03,5594,0,0,0,0,0
"3",2020-05-10,5594,0,0,0,0,0
"4",2020-05-17,5594,0,0,0,0,0
"5",2020-05-24,5594,0,0,0,0,0
"6",2020-05-31,5594,0,0,0,0,0
"7",2020-06-07,5594,0,0,0,0,0
"8",2020-06-14,5594,0,0,0,0,0
"9",2020-06-21,5594,0,0,0,0,0
"10",2020-06-28,5594,0,0,0,0,0
"11",2020-07-05,5594,0,0,0,0,0
"12",2020-07-12,5594,0,0,0,0,0
"13",2020-07-19,5594,0,0,0,0,0
"14",2020-07-26,5594,0,0,0,0,0
"15",2020-08-02,5594,0,0,0,0,0
"16",2020-08-09,5594,0,0,0,0,0
"17",2020-08-16,5594,0,0,0,0,0
"18",2020-08-23,5594,0,0,0,0,0
"19",2020-08-30,5594,0,0,0,0,0
"20",2020-09-06,5594,0,0,0,0,0
"21",2020-09-13,5594,0,0,0,0,0
"22",2020-09-20,5594,0,0,0,0,0
"23",2020-09-27,5594,0,0,0,0,0
"24",2020-10-04,5594,0,0,0,0,0
"25",2020-10-11,5594,0,0,0,0,0
"26",2020-10-18,5594,0,0,0,0,0
"27",2020-10-25,5594,0,0,0,0,0
"28",2020-11-01,5594,0,0,0,0,0
"29",2020-11-08,5594,0,0,0,0,0
"30",2020-11-15,5594,0,0,0,0,0
"31",2020-11-22,5594,0,0,0,0,0
"32",2020-11-29,5594,0,0,0,0,0
"33",2020-12-06,5594,0,0,0,0,0
"34",2020-12-13,5573,19,10,0,0,0
"35",2020-12-20,5502,80,10,10,0,0
"36",2020-12-27,5436,132,21,10,0,0
"37",2021-01-03,5345,209,33,10,10,0
"38",2021-01-10,5144,368,68,11,10,0
"39",2021-01-17,4917,538,121,14,10,10
"40",2021-01-24,4635,727,202,23,10,10
"41",2021-01-31,4385,892,261,44,10,10
"42",2021-02-07,4137,1040,339,60,13,10
"43",2021-02-14,3878,1178,427,86,20,10
"44",2021-02-21,3573,1323,548,109,33,10
"45",2021-02-28,3188,1486,687,174,44,15
"46",2021-03-07,2919,1560,814,224,57,20
"47",2021-03-14,2682,1572,977,270,71,22
"48",2021-03-21,2166,1557,1342,376,118,35
"49",2021-03-28,1869,1432,1641,457,152,43
"50",2021-04-04,1745,1361,1781,490,169,48
"51",2021-04-11,1672,1319,1873,501,178,51
"52",2021-04-18,1495,1245,2077,533,191,53
"53",2021-04-25,1341,1111,2321,571,194,56
"54",2021-05-02,1184,986,2554,604,203,63
"55",2021-05-09,1035,858,2774,647,210,70
"56",2021-05-16,916,707,2982,672,234,83
"57",2021-05-23,807,580,3142,697,266,102
"58",2021-05-30,756,477,3241,714,278,128
"59",2021-06-06,727,431,3228,753,311,144
"60",2021-06-13,709,379,3176,807,352,171
"61",2021-06-20,680,339,3031,868,445,231
"62",2021-06-27,660,300,2829,944,535,326
"63",2021-07-04,651,281,2725,969,578,390
"64",2021-07-11,642,271,2683,973,595,430
"65",2021-07-18,639,260,2648,986,613,448
"66",2021-07-25,638,254,2630,991,623,458
"67",2021-08-01,636,251,2610,991,637,469
"68",2021-08-08,633,243,2597,993,628,500
"69",2021-08-15,633,239,2533,997,663,529
"70",2021-08-22,631,230,2379,1051,734,569
"71",2021-08-29,628,222,2273,1075,784,612
"72",2021-09-05,625,217,2194,1104,816,638
"73",2021-09-12,621,214,2168,1115,830,646
"74",2021-09-19,619,208,2154,1116,843,654
"75",2021-09-26,617,209,2119,1117,851,681
"76",2021-10-03,616,206,2038,1117,887,730
"77",2021-10-10,616,202,1909,1135,918,814
"78",2021-10-17,614,199,1794,1094,971,922
"79",2021-10-24,613,194,1664,1090,1010,1023
"80",2021-10-31,611,189,1573,1045,1055,1121
"81",2021-11-07,611,183,1460,1031,1087,1222
"82",2021-11-14,609,181,1374,1010,1136,1284
"83",2021-11-21,608,179,1327,993,1144,1343
"84",2021-11-28,606,177,1294,992,1165,1360
"85",2021-12-05,606,172,1267,982,1184,1383
"86",2021-12-12,605,170,1242,987,1180,1410
"87",2021-12-19,601,166,1212,990,1183,1442
"88",2021-12-26,600,166,1191,981,1199,1457
"89",2022-01-02,600,164,1164,985,1204,1477
"90",2022-01-09,597,158,1144,981,1220,1494
"91",2022-01-16,595,157,1126,982,1219,1515
"92",2022-01-23,594,157,1102,982,1221,1538
"93",2022-01-30,594,153,1080,992,1226,1549
"94",2022-02-06,593,151,1065,996,1226,1563
"95",2022-02-13,593,149,1055,993,1216,1588
"96",2022-02-20,593,148,1039,988,1220,1606
"97",2022-02-27,593,148,1035,986,1216,1616
"98",2022-03-06,593,148,1026,984,1221,1622
"99",2022-03-13,593,147,1022,980,1221,1631
"100",2022-03-20,593,147,1017,977,1223,1637
"101",2022-03-27,592,147,1011,968,1226,1650
"102",2022-04-03,592,147,1007,960,1228,1660
"103",2022-04-10,592,146,990,932,1207,1727
"104",2022-04-17,592,146,970,897,1166,1823
"105",2022-04-24,592,146,943,864,1146,1903
"106",2022-05-01,592,144,927,842,1131,1958
"107",2022-05-08,592,144,914,820,1124,2000
"108",2022-05-15,592,144,899,808,1113,2038
"109",2022-05-22,592,144,886,794,1104,2074
"110",2022-05-29,592,144,878,783,1097,2100
"111",2022-06-05,592,144,873,776,1088,2121
"112",2022-06-12,592,144,872,767,1081,2138
"113",2022-06-19,592,144,866,762,1067,2163
"114",2022-06-26,592,144,861,759,1057,2181
"115",2022-07-03,592,144,855,753,1052,2198
"116",2022-07-10,592,144,852,744,1041,2221
"117",2022-07-17,592,144,850,737,1034,2237
"118",2022-07-24,592,144,847,735,1030,2246
"119",2022-07-31,592,144,846,733,1021,2258
"120",2022-08-07,592,144,842,729,1014,2273
"121",2022-08-14,592,143,840,727,1010,2282
"122",2022-08-21,592,143,840,720,1001,2298
"123",2022-08-28,592,143,837,718,999,2305
"124",2022-09-04,592,143,834,715,1002,2308
"125",2022-09-11,592,143,834,713,997,2315
"126",2022-09-18,592,143,833,712,998,2316
"127",2022-09-25,592,143,833,711,994,2321
"128",2022-10-02,592,143,830,712,991,2326
"129",2022-10-09,592,143,828,712,991,2328
"130",2022-10-16,592,143,827,712,990,2330
"131",2022-10-23,592,143,825,712,988,2334
"132",2022-10-30,592,143,825,711,982,2341
"133",2022-11-06,592,143,824,711,980,2344
"134",2022-11-13,592,143,823,711,978,2347
"135",2022-11-20,592,143,822,711,975,2351
"136",2022-11-27,592,143,822,708,976,2353
"137",2022-12-04,592,143,822,708,974,2355
"138",2022-12-11,592,143,822,707,973,2357
"139",2022-12-18,592,143,822,707,973,2357
"140",2022-12-25,592,143,822,707,972,2358
"141",2023-01-01,592,143,822,707,972,2358
"142",2023-01-08,592,143,821,708,972,2358
"143",2023-01-15,592,143,821,708,971,2359
"144",2023-01-22,592,143,821,707,971,2360
"145",2023-01-29,592,143,821,707,971,2360
"146",2023-02-05,592,143,821,707,970,2361
"147",2023-02-12,592,143,820,707,969,2363
"148",2023-02-19,592,143,820,707,966,2366
"149",2023-02-26,592,143,820,705,967,2367
"150",2023-03-05,592,143,820,705,967,2367
"151",2023-03-12,592,143,820,705,967,2367
